"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-556","제이빌","서울특별시 강남구 학동로43길 30",1,14,75.12,2,"80000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",1,14,14.224,3,"22000"
"11680-567","현대아이리스","서울특별시 강남구 도곡로6길 14",1,14,113.18,4,"95000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,15,34.44,9,"79500"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",1,15,84.89,7,"192000"
"11680-241","세종빌라트","서울특별시 강남구 도곡로23길 31",1,15,122.45,1,"55000"
"11680-3736","청담범신칼릭스빌","서울특별시 강남구 도산대로89길 35",1,15,102.69,3,"143000"
"11680-361","현대향목빌라트","서울특별시 강남구 남부순환로379길 26",1,15,244.59,2,"195000"
"11680-20","미성","서울특별시 강남구 압구정로 113",1,16,118.63,5,"270000"
"11680-3582","삼성펠리스","서울특별시 강남구 테헤란로79길 31",1,16,174.1,6,"161000"
"11680-504","역삼동우정에쉐르","서울특별시 강남구 테헤란로4길 32",1,16,57.98,12,"65000"
"11680-470","타워팰리스","서울특별시 강남구 언주로30길 26",1,16,141.381,35,"270000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,17,39.6,3,"85000"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",1,17,59.897,4,"188000"
"11680-3641","삼성동롯데캐슬킹덤","서울특별시 강남구 선릉로112길 53",1,17,170.8,12,"295000"
"11680-697","스위트캐슬레지던스","서울특별시 강남구 학동로7길 6",1,17,203.17,6,"240000"
"11680-141","청학","서울특별시 강남구 도산대로 232",1,17,85.12,5,"110000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,18,39.6,2,"84000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",1,18,91.96,3,"146000"
"11680-41","삼환","서울특별시 강남구 학동로77길 49",1,18,84.88,1,"144000"
"11680-41","삼환","서울특별시 강남구 학동로77길 49",1,18,114.97,5,"167000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",1,18,39.51,10,"100000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",1,18,84.52,11,"144000"
"11680-490","역삼예명","서울특별시 강남구 봉은사로34길 53",1,18,67.08,3,"58000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",1,18,13.425,3,"21600"
"11680-378","한양","서울특별시 강남구 압구정로 321",1,18,78.05,6,"213000"
"11680-3726","논현파라곤","서울특별시 강남구 학동로 338",1,20,120.21,12,"150000"
"11680-275","대우디오빌","서울특별시 강남구 언주로 427",1,20,30.03,6,"32000"
"11680-217","대치우성","서울특별시 강남구 영동대로 230",1,20,84.69,2,"208000"
"11680-559","두산위브","서울특별시 강남구 언주로122길 25",1,20,83.464,9,"137000"
"11680-3696","삼성팰리스","서울특별시 강남구 삼성로112길 8",1,20,114.26,8,"145000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",1,20,60,15,"120000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",1,20,114.34,13,"165000"
"11680-249","한화진넥스빌","서울특별시 강남구 언주로86길 11",1,20,39.2,13,"35800"
NA,"래미안개포루체하임","서울특별시 강남구 개포로110길 50",1,21,101.97,22,"250000"
"11680-3862","로덴하우스웨스트빌리지","서울특별시 강남구 남부순환로378길 11",1,21,273.68,19,"545000"
"11680-529","테헤란로대우아이빌","서울특별시 강남구 테헤란로 428",1,21,29.02,13,"34000"
"11680-423","신현대","서울특별시 강남구 압구정로 151",1,22,108.88,4,"280000"
"11680-3740","RudenHouse","서울특별시 강남구 강남대로162길 41-8",1,22,84.98,4,"88000"
"11680-323","대림아크로빌","서울특별시 강남구 언주로30길 13",1,23,177.255,20,"230000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",1,23,145.83,20,"370000"
"11680-3821","래미안신사","서울특별시 강남구 압구정로2길 20",1,23,84.89,10,"145000"
"11680-301","목련타운","서울특별시 강남구 광평로19길 15",1,23,134.71,2,"185000"
"11680-4003","강남데시앙파크","서울특별시 강남구 헌릉로590길 63",1,28,114.69,4,"125000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",1,28,39.6,8,"89900"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",1,28,39.53,3,"107000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",1,28,59.89,5,"108500"
"11680-462","지석천평대","서울특별시 강남구 논현로71길 48",1,28,63.03,4,"55500"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",1,29,59.9772,19,"164800"
"11680-546","신사파크빌B동","서울특별시 강남구 도산대로25길 15-17",1,29,131.99,1,"85000"
"11680-3632","래미안삼성","서울특별시 강남구 영동대로114길 56",1,30,125.8,11,"245000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",1,30,59.89,13,"107000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",1,30,35.73,11,"80000"
"11680-566","아카데미스위트","서울특별시 강남구 언주로30길 21",1,30,122.07,35,"168500"
"11680-4004","청담자이","서울특별시 강남구 영동대로138길 12",1,30,49.619,26,"176000"
"11680-415","현대","서울특별시 강남구 압구정로29길 71",1,30,196.21,14,"470000"
"11680-323","대림아크로빌","서울특별시 강남구 언주로30길 13",1,31,172.464,30,"237000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",1,31,84.48,2,"139000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",1,31,60,2,"119000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",1,31,39.53,13,"100500"
"11680-338","우성사원","서울특별시 강남구 언주로29길 34",1,31,70.89,7,"149500"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",1,31,13.425,3,"23000"
"11680-4202","한양수자인어반게이트","서울특별시 강남구 봉은사로29길 35",1,31,16.2,3,"21200"
"11680-4324","강남데시앙포레","서울특별시 강남구 광평로34길 55",2,1,84.92,2,"151000"
"11680-276","경남아너스빌","서울특별시 강남구 언주로85길 13",2,1,84.688,4,"149000"
"11680-560","대우디오빌","서울특별시 강남구 강남대로 256",2,1,25.89,15,"26600"
NA,"래미안개포루체하임","서울특별시 강남구 개포로110길 50",2,1,71.65,6,"212000"
"11680-373","쌍용대치","서울특별시 강남구 영동대로 210",2,1,83.56,13,"205000"
"11680-504","역삼동우정에쉐르","서울특별시 강남구 테헤란로4길 32",2,1,71.78,2,"70000"
"11680-78","청담현대","서울특별시 강남구 도산대로101길 29",2,1,109.53,7,"200000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",2,1,59.606,10,"167000"
"11680-3746","압구정Ainvill","서울특별시 강남구 논현로154길 12",2,2,84.36,5,"98000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,3,59.9818,5,"185000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,3,119.8906,1,"263000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",2,3,35.73,9,"80000"
"11680-65","청담","서울특별시 강남구 도산대로89길 49",2,3,84.595,16,"190000"
"11680-193","풍림","서울특별시 강남구 테헤란로77길 22",2,3,53.75,7,"69000"
"11680-249","한화진넥스빌","서울특별시 강남구 언주로86길 11",2,3,39.2,19,"36000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,4,49.5,9,"99800"
"11680-417","현대","서울특별시 강남구 압구정로39길 58",2,4,82.5,1,"210000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,5,34.44,6,"76000"
"11680-3821","래미안신사","서울특별시 강남구 압구정로2길 20",2,5,84.89,9,"149000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",2,5,33.18,7,"86000"
"11680-3643","역삼푸르지오","서울특별시 강남구 언주로 332",2,5,59.8848,11,"171000"
"11680-62","진흥","서울특별시 강남구 학동로87길 9",2,5,180.67,11,"290000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",2,5,164.99,24,"258500"
"11680-470","타워팰리스","서울특별시 강남구 언주로30길 26",2,5,124.641,51,"215000"
"11680-434","LG선릉에클라트","서울특별시 강남구 선릉로100길 42",2,5,36.16,4,"40500"
"11680-391","개포주공","서울특별시 강남구 삼성로4길 17",2,6,61.19,14,"177000"
"11680-578","개포주공","서울특별시 강남구 개포로 516",2,6,53.46,12,"154500"
"11680-323","대림아크로빌","서울특별시 강남구 언주로30길 13",2,7,172.467,29,"219000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,7,114.9931,4,"241000"
"11680-121","동현","서울특별시 강남구 언주로146길 18",2,7,84.92,5,"165000"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",2,7,84.236,10,"235000"
"11680-711","원팰리스","서울특별시 강남구 남부순환로351길 23",2,7,103.23,3,"95000"
"11680-3633","청담이-편한세상","서울특별시 강남구 도산대로70길 43",2,7,98.05,7,"165000"
"11680-417","현대","서울특별시 강남구 압구정로39길 58",2,7,82.5,7,"223000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",2,8,59.99,10,"108000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,8,39.6,4,"84000"
"11680-463","노블카운티","서울특별시 강남구 도곡로19길 13",2,8,81.85,1,"72000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,8,84.9984,16,"230000"
