"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,6,"37852"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,5,"37852"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,5,"44709"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,5,"44709"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,5,"37852"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,4,"36755"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,4,"43612"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,4,"43612"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,4,"36755"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,3,"35383"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,3,"42240"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,38.28,3,"42240"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,31.62,3,"35383"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,57.83,10,"63086"
"11680-669","경민리빙텔","서울특별시 강남구 도곡로1길 22",5,29,69.9,10,"72687"
"11680-327","럭키","서울특별시 강남구 논현로 213",5,29,84.97,15,"164000"
"11680-261","명인갤러리","서울특별시 강남구 언주로75길 22",5,29,84.78,1,"89000"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",5,29,84.76,22,"193500"
"11680-34","삼성청담공원","서울특별시 강남구 도산대로96길 39",5,29,107.22,8,"173500"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",5,29,84.93,5,"148000"
"11680-380","한양","서울특별시 강남구 압구정로 321",5,29,116.94,8,"263400"
"11680-1","강남상가","서울특별시 강남구 압구정로2길 46",5,30,63.31,4,"51000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",5,30,127.78,15,"280000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",5,30,39.6,6,"89900"
"11680-323","대림아크로빌","서울특별시 강남구 언주로30길 13",5,30,138.657,45,"189000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",5,30,84.9984,12,"235000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",5,30,59.9818,8,"183000"
"11680-4394","래미안대치팰리스","서울특별시 강남구 삼성로51길 35",5,30,91.93,16,"294000"
"11680-507","삼성동중앙하이츠빌리지","서울특별시 강남구 학동로68길 30",5,30,152.98,3,"257000"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",5,30,84.503,12,"209500"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",5,30,49.2,11,"99500"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",5,30,49.86,10,"117500"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",5,30,49.96,11,"105000"
"11680-4341","엘에이치강남브리즈힐","서울특별시 강남구 자곡로3길 45",5,30,74.04,3,"91500"
"11680-3760","역삼아이파크","서울특별시 강남구 도곡로57길 12",5,30,84.891,3,"186000"
"11680-3650","청담이-편한세상","서울특별시 강남구 도산대로70길 25",5,30,84.41,7,"154000"
"11680-4296","테헤란아이파크","서울특별시 강남구 테헤란로52길 16",5,30,92.6232,2,"230000"
"11680-3600","파크힐","서울특별시 강남구 도곡로14길 14-1",5,30,88.77,5,"89500"
"11680-420","현대","서울특별시 강남구 압구정로 201",5,30,157.36,7,"360000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",5,30,59.606,14,"174800"
"11680-3647","SK허브프리모","서울특별시 강남구 강남대로 240",5,30,67.57,12,"78000"
"11680-578","개포주공","서울특별시 강남구 개포로 516",5,31,73.26,6,"180000"
"11680-275","대우디오빌","서울특별시 강남구 언주로 427",5,31,30.03,10,"32000"
"11680-3559","선경","서울특별시 강남구 삼성로 151",5,31,127.75,10,"315000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",5,31,49.86,15,"120000"
"11680-3643","역삼푸르지오","서울특별시 강남구 언주로 332",5,31,84.9097,2,"197000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,1,34.44,3,"77000"
"11680-530","대우아이빌명문가","서울특별시 강남구 선릉로90길 56",6,1,33.06,7,"32500"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",6,1,84.98,20,"233000"
"11680-3734","도곡아이파크","서울특별시 강남구 도곡로28길 8",6,1,84.122,10,"167000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,1,120.8233,12,"266900"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,1,145.83,19,"360000"
"11680-34","삼성청담공원","서울특별시 강남구 도산대로96길 39",6,1,84.96,5,"155000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,1,60,2,"129000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,1,60,8,"132000"
"11680-306","우성","서울특별시 강남구 개포로110길 15",6,1,83.69,6,"179000"
"11680-218","은마","서울특별시 강남구 삼성로 212",6,1,76.79,7,"195000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",6,1,59.76,5,"116000"
"11680-382","한양","서울특별시 강남구 압구정로 401",6,1,100.5,7,"218000"
"11680-416","현대","서울특별시 강남구 압구정로29길 71",6,1,161.19,12,"347000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",6,2,59.89,11,"112000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",6,2,74.74,13,"124000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",6,2,59.99,15,"104000"
"11680-290","개포주공","서울특별시 강남구 개포로 516",6,2,60.13,4,"165000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,2,39.6,7,"86500"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,2,120.8233,6,"260000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,2,145.83,7,"350000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,2,145.83,7,"350000"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",6,2,59.4,2,"145000"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",6,2,84.236,11,"225000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",6,2,60,10,"117500"
"11680-304","샘터마을","서울특별시 강남구 일원로 120",6,2,101.97,3,"172000"
"11680-423","신현대","서울특별시 강남구 압구정로 151",6,2,152.28,2,"348000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",6,2,59.76,2,"117000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",6,2,161.36,3,"315000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,2,126.33,4,"275000"
"11680-381","한양","서울특별시 강남구 압구정로 313",6,2,101.09,3,"215000"
"11680-421","현대","서울특별시 강남구 압구정로 201",6,2,144.2,1,"326000"
"11680-422","현대","서울특별시 강남구 압구정로 309",6,2,107.64,7,"238000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,3,39.6,11,"87000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,3,39.6,5,"86800"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",6,3,119.58,21,"301000"
"11680-3752","대치아이파크","서울특별시 강남구 선릉로 222",6,3,59.96,18,"187000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,3,114.9931,1,"279000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,3,119.8906,19,"263000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,3,84.9984,16,"234000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",6,3,33.18,3,"89000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",6,3,39.53,5,"101000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",6,3,59.89,15,"109500"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",6,3,97.63,3,"143000"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",6,3,129.45,2,"157000"
"11680-472","아이파크","서울특별시 강남구 영동대로 640",6,3,145.046,36,"400000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",6,3,28.246,11,"79000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",6,3,59.53,12,"155000"
"11680-364","타워팰리스","서울특별시 강남구 언주로30길 56",6,3,164.97,19,"312000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",6,3,161.36,14,"342000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,3,84.96,9,"223000"
"11680-422","현대","서울특별시 강남구 압구정로 309",6,3,107.64,11,"230000"
"11680-200","홍실","서울특별시 강남구 영동대로128길 15",6,3,94.26,9,"257000"
NA,"강남웅진베어스빌","서울특별시 강남구 도곡로 113",6,4,18.61,14,"40120"
"11680-391","개포주공","서울특별시 강남구 삼성로4길 17",6,4,74.25,8,"189000"
"11680-205","대치삼성","서울특별시 강남구 도곡로78길 22",6,4,108.52,8,"240000"
"11680-217","대치우성","서울특별시 강남구 영동대로 230",6,4,115.59,13,"235000"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",6,4,84.94,8,"243000"
"11680-3739","롯데캐슬리베","서울특별시 강남구 도곡로 404",6,4,121.0894,6,"262000"
"11680-20","미성","서울특별시 강남구 압구정로 113",6,4,74.4,10,"196750"
"11680-316","삼성","서울특별시 강남구 광평로31길 27",6,4,84.97,8,"160000"
"11680-194","삼성동한솔","서울특별시 강남구 학동로64길 7",6,4,85,5,"160000"
"11680-529","테헤란로대우아이빌","서울특별시 강남구 테헤란로 428",6,4,59.83,12,"75300"
"11680-195","한일","서울특별시 강남구 봉은사로73길 23",6,4,55.34,6,"125800"
"11680-415","현대","서울특별시 강남구 압구정로29길 71",6,4,131.48,11,"305000"
"11680-391","개포주공","서울특별시 강남구 삼성로4길 17",6,5,61.19,2,"167500"
"11680-560","대우디오빌","서울특별시 강남구 강남대로 256",6,5,25.89,15,"26000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,5,121.74,27,"340000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",6,5,91.96,2,"146500"
"11680-4173","래미안도곡카운티","서울특별시 강남구 도곡로 320",6,5,106.39,18,"270000"
"11680-3732","래미안삼성","서울특별시 강남구 선릉로130길 20",6,5,164.72,8,"265000"
"11680-551","마일스디오빌","서울특별시 강남구 학동로 165",6,5,36.29,6,"38900"
"11680-20","미성","서울특별시 강남구 압구정로 113",6,5,74.4,6,"197000"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",6,5,89.88,22,"200000"
"11680-305","수서","서울특별시 강남구 양재대로55길 12",6,5,39.98,3,"85000"
"11680-373","쌍용대치","서울특별시 강남구 영동대로 210",6,5,128.03,15,"251500"
"11680-3722","쌍용플레티넘밸류","서울특별시 강남구 테헤란로4길 46",6,5,84.96,6,"114500"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",6,5,80.87,3,"196500"
"11680-529","테헤란로대우아이빌","서울특별시 강남구 테헤란로 428",6,5,59.83,26,"79000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",6,5,84.93,8,"153000"
"11680-309","한솔마을","서울특별시 강남구 광평로10길 6",6,5,84.73,2,"165000"
"11680-554","한진로즈힐","서울특별시 강남구 도산대로46길 21",6,5,84.94,4,"130000"
"11680-3678","개나리푸르지오","서울특별시 강남구 역삼로 314",6,6,133.1686,24,"270000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",6,6,127.78,12,"335000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,6,34.44,3,"77900"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,6,84.9984,11,"231000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,6,59.9818,9,"182500"
"11680-3962","도곡쌍용예가","서울특별시 강남구 남부순환로363길 30",6,6,107.53,10,"187000"
"11680-392","동부센트레빌","서울특별시 강남구 언주로116길 6",6,6,84.9875,1,"148200"
"11680-315","동익","서울특별시 강남구 광평로39길 3",6,6,60.01,11,"115000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",6,6,91.96,8,"153000"
"11680-327","럭키","서울특별시 강남구 논현로 213",6,6,84.97,15,"160000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,6,39.53,12,"105000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,6,39.53,1,"100000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,6,39.53,9,"104000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",6,6,33.18,4,"87500"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",6,6,33.18,3,"89800"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",6,6,33.18,8,"95000"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",6,6,129.45,15,"159000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",6,6,35.73,7,"85000"
"11680-339","역삼우성","서울특별시 강남구 남부순환로363길 49",6,6,84.83,13,"145000"
"11680-98","청담대림이-편한세상","서울특별시 강남구 학동로77길 27",6,6,81.84,1,"157500"
"11680-572","청담대우멤버스카운티","서울특별시 강남구 도산대로87길 34",6,6,147.91,2,"180000"
"11680-4004","청담자이","서울특별시 강남구 영동대로138길 12",6,6,49.639,25,"172000"
"11680-4004","청담자이","서울특별시 강남구 영동대로138길 12",6,6,49.639,25,"172000"
"11680-602","하이캐슬","서울특별시 강남구 삼성로64길 36",6,6,138.91,2,"160000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",6,6,191.07,13,"370000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",6,6,84.48,1,"214000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,6,159.15,10,"357500"
"11680-251","한스빌","서울특별시 강남구 도곡로3길 26",6,6,39.89,12,"36000"
"11680-420","현대","서울특별시 강남구 압구정로 201",6,6,196.7,14,"480000"
"11680-3830","현대힐스테이트","서울특별시 강남구 삼성로111길 8",6,6,84.236,20,"238000"
"11680-3647","SK허브프리모","서울특별시 강남구 강남대로 240",6,6,69.18,11,"85000"
"11680-508","SM드림빌","서울특별시 강남구 봉은사로61길 34",6,6,52.79,3,"67400"
"11680-4298","강남한양수자인","서울특별시 강남구 자곡로 260",6,7,84.89,7,"144500"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,7,39.6,9,"89500"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,7,49.5,10,"114000"
"11680-3731","도곡스타클래스","서울특별시 강남구 남부순환로 2615",6,7,111.38,7,"125000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",6,7,91.96,2,"143800"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",6,7,84.94,29,"251000"
"11680-4297","래미안포레","서울특별시 강남구 밤고개로21길 25",6,7,84.99,1,"131700"
"11680-3844","로체샤르캐슬","서울특별시 강남구 언주로136길 16",6,7,105.99,6,"105500"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",6,7,84.236,3,"207000"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",6,7,89.88,10,"197500"
"11680-593","역삼엔스위트","서울특별시 강남구 언주로103길 16",6,7,107.3,5,"92500"
"11680-309","한솔마을","서울특별시 강남구 광평로10길 6",6,7,84.73,3,"161000"
"11680-372","개포우성","서울특별시 강남구 선릉로 120",6,8,127.61,14,"322000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",6,8,159.6,8,"379000"
"11680-283","개포우성","서울특별시 강남구 개포로 307",6,8,161,5,"268500"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,8,34.44,10,"80000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,8,49.5,7,"113800"
"11680-531","대우아이빌멤버스","서울특별시 강남구 삼성로85길 42",6,8,35.796,7,"36500"
"11680-205","대치삼성","서울특별시 강남구 도곡로78길 22",6,8,97.35,11,"239000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,8,84.9984,4,"235000"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",6,8,59.967,13,"189000"
"11680-3624","래미안삼성","서울특별시 강남구 영동대로114길 56",6,8,122.85,2,"215000"
"11680-3766","래미안펜타빌","서울특별시 강남구 역삼로 309",6,8,157.37,16,"285000"
"11680-20","미성","서울특별시 강남구 압구정로 113",6,8,74.4,13,"192000"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",6,8,59.4,6,"139500"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",6,8,59.4,6,"139500"
"11680-47","신동아","서울특별시 강남구 학동로105길 30",6,8,84.94,4,"190000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",6,8,33.18,12,"87000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",6,8,131.38,13,"250000"
"11680-306","우성","서울특별시 강남구 개포로110길 15",6,8,68.39,9,"160000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",6,8,244.77,54,"480000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",6,8,164.2,55,"300000"
"11680-190","푸른솔","서울특별시 강남구 학동로 420",6,8,84.9,9,"162500"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,8,126.33,6,"273000"
"11680-4202","한양수자인어반게이트","서울특별시 강남구 봉은사로29길 35",6,8,16.2,3,"21800"
"11680-195","한일","서울특별시 강남구 봉은사로73길 23",6,8,80.29,1,"145000"
"11680-424","현대","서울특별시 강남구 압구정로29길 69",6,8,151.93,6,"345000"
"11680-3830","현대힐스테이트","서울특별시 강남구 삼성로111길 8",6,8,84.349,4,"225000"
"11680-4003","강남데시앙파크","서울특별시 강남구 헌릉로590길 63",6,9,84.95,7,"115000"
"11680-283","개포우성","서울특별시 강남구 개포로 307",6,9,161,6,"270000"
"11680-391","개포주공","서울특별시 강남구 삼성로4길 17",6,9,74.25,2,"185000"
"11680-277","경남","서울특별시 강남구 언주로 110",6,9,96.98,9,"200000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,9,39.6,2,"85000"
"11680-323","대림아크로빌","서울특별시 강남구 언주로30길 13",6,9,172.467,15,"213000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,9,121.74,6,"340000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",6,9,91.96,8,"152500"
"11680-3905","래미안그레이튼","서울특별시 강남구 도곡로 306",6,9,84.87,18,"215000"
"11680-4394","래미안대치팰리스","서울특별시 강남구 삼성로51길 37",6,9,94.49,2,"305000"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",6,9,84.236,3,"204500"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",6,9,35.73,2,"79999"
"11680-3722","쌍용플레티넘밸류","서울특별시 강남구 테헤란로4길 46",6,9,84.96,8,"118500"
"11680-3722","쌍용플레티넘밸류","서울특별시 강남구 테헤란로4길 46",6,9,116.67,4,"129000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",6,9,28.246,9,"78000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",6,9,28.246,13,"79700"
"11680-3643","역삼푸르지오","서울특별시 강남구 언주로 332",6,9,59.8848,14,"162500"
"11680-306","우성","서울특별시 강남구 개포로110길 15",6,9,83.69,14,"183000"
"11680-285","우성","서울특별시 강남구 개포로 411",6,9,78.93,7,"91000"
"11680-191","풍림","서울특별시 강남구 영동대로112길 15",6,9,84.78,16,"190000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,9,126.33,12,"285000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,9,84.96,5,"227000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",6,9,126.33,6,"280000"
"11680-380","한양","서울특별시 강남구 압구정로 321",6,9,117.26,9,"270000"
"11680-458","로얄팰리스","서울특별시 강남구 테헤란로13길 45",6,10,105.16,1,"90000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",6,10,127.78,10,"325000"
"11680-290","개포주공","서울특별시 강남구 개포로 516",6,10,60.13,8,"171500"
"11680-530","대우아이빌명문가","서울특별시 강남구 선릉로90길 56",6,10,33.06,11,"30300"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,10,84.9231,3,"243000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,10,84.9984,16,"249000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,10,84.9984,23,"230000"
NA,"디에이치아너힐즈","서울특별시 강남구 삼성로 11",6,10,84.3558,5,"227000"
"11680-266","로얄빌리지","서울특별시 강남구 테헤란로21길 18",6,10,103.49,4,"85000"
"11680-477","리더스","서울특별시 강남구 논현로2길 62",6,10,83.62,3,"65000"
"11680-3834","삼성동힐스테이트","서울특별시 강남구 학동로68길 29",6,10,26.5,13,"102000"
"11680-303","상록수","서울특별시 강남구 광평로10길 15",6,10,74.54,1,"163500"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",6,10,35.73,10,"84500"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",6,10,59.73,5,"171000"
"11680-3662","우찬현대","서울특별시 강남구 개포로31길 3-12",6,10,100.5,5,"77500"
"11680-218","은마","서울특별시 강남구 삼성로 212",6,10,76.79,5,"195000"
"11680-218","은마","서울특별시 강남구 삼성로 212",6,10,76.79,6,"191000"
"11680-218","은마","서울특별시 강남구 삼성로 212",6,10,84.43,5,"210000"
"11680-62","진흥","서울특별시 강남구 학동로 513",6,10,109.31,10,"210000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",6,10,13.425,7,"23000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",6,10,13.425,6,"25000"
"11680-348","포스코트","서울특별시 강남구 남부순환로381길 15",6,10,209.03,13,"250000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",6,10,84.93,3,"155000"
"11680-379","한양","서울특별시 강남구 압구정로 347",6,10,175.92,7,"368000"
"11680-380","한양","서울특별시 강남구 압구정로 321",6,10,116.94,8,"260000"
"11680-249","한화진넥스빌","서울특별시 강남구 언주로86길 11",6,10,39.2,21,"35000"
"11680-421","현대","서울특별시 강남구 압구정로 201",6,10,196.7,13,"463000"
"11680-522","LG선릉에클라트","서울특별시 강남구 테헤란로63길 12",6,10,36.35,12,"40000"
"11680-522","LG선릉에클라트","서울특별시 강남구 테헤란로63길 12",6,10,56.68,14,"83000"
"11680-4003","강남데시앙파크","서울특별시 강남구 헌릉로590길 63",6,11,114.69,4,"132000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",6,11,127.78,9,"350000"
"11680-290","개포주공","서울특별시 강남구 개포로 516",6,11,73.02,3,"180000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",6,11,34.44,13,"79300"
"11680-217","대치우성","서울특별시 강남구 영동대로 230",6,11,115.59,14,"231500"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,11,176.9924,10,"430000"
NA,"라테라스청담","서울특별시 강남구 학동로81길 9",6,11,39.91,6,"74500"
NA,"래미안개포루체하임","서울특별시 강남구 개포로110길 50",6,11,59.99,12,"173000"
NA,"래미안개포루체하임","서울특별시 강남구 개포로110길 50",6,11,59.99,12,"173000"
NA,"래미안개포루체하임","서울특별시 강남구 개포로110길 50",6,11,59.99,12,"173000"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",6,11,59.4,20,"143000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",6,11,49.2,5,"110000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",6,11,39.53,3,"105000"
"11680-177","서광","서울특별시 강남구 선릉로130길 19",6,11,80.91,9,"165000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",6,11,49.96,2,"104000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",6,11,59.4,20,"167000"
"11680-3665","영무예다음","서울특별시 강남구 봉은사로72길 33",6,11,115.88,4,"165000"
"11680-218","은마","서울특별시 강남구 삼성로 212",6,11,76.79,2,"190000"
"11680-98","청담대림이-편한세상","서울특별시 강남구 학동로77길 27",6,11,81.84,2,"158000"
"11680-4004","청담자이","서울특별시 강남구 영동대로138길 12",6,11,89.115,35,"315000"
"11680-292","현대","서울특별시 강남구 개포로 303",6,11,128.62,13,"220000"
"11680-421","현대","서울특별시 강남구 압구정로 201",6,11,144.2,12,"367000"
"11680-421","현대","서울특별시 강남구 압구정로 201",6,11,144.2,12,"367000"
"11680-352","현대그린","서울특별시 강남구 논현로51길 25",6,11,84.93,1,"145000"
"11680-354","현대비젼","서울특별시 강남구 언주로30길 10",6,11,34.995,18,"36000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",6,11,59.606,13,"180000"
"11680-4003","강남데시앙파크","서울특별시 강남구 헌릉로590길 63",6,12,84.97,8,"113000"
"11680-4324","강남데시앙포레","서울특별시 강남구 광평로34길 55",6,12,84.86,2,"164500"
"11680-4324","강남데시앙포레","서울특별시 강남구 광평로34길 55",6,12,59.81,3,"129700"
"11680-104","거평프리젠","서울특별시 강남구 강남대로112길 41",6,12,39.035,4,"38000"
"11680-217","대치우성","서울특별시 강남구 영동대로 230",6,12,115.59,12,"238000"
"11680-217","대치우성","서울특별시 강남구 영동대로 230",6,12,115.59,12,"238000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,12,134.9023,13,"310000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",6,12,84.9984,14,"247000"
"11680-601","동부센트레빌","서울특별시 강남구 선릉로 206",6,12,121.74,18,"340000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",6,12,91.95,5,"149500"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",6,12,59.89,3,"111000"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",6,12,163.68,5,"188500"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",6,12,39.51,10,"105000"
"11680-319","신동아","서울특별시 강남구 광평로47길 17",6,12,33.18,15,"86000"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",6,12,35.73,1,"79000"
"11680-3679","역삼I'PARK","서울특별시 강남구 역삼로 307",6,12,28.246,3,"79700"
"11680-337","우성","서울특별시 강남구 언주로 117",6,12,126.46,9,"255000"
"11680-4317","이스턴오피스텔","서울특별시 강남구 테헤란로14길 13",6,12,15.25,10,"19500"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",6,12,164.99,13,"309000"
"11680-378","한양","서울특별시 강남구 압구정로 321",6,12,78.05,10,"223000"
"11680-259","현대휴먼터치빌","서울특별시 강남구 논현로 565",6,12,25.92,8,"24000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",6,12,59.606,8,"172000"
"11680-3647","SK허브프리모","서울특별시 강남구 강남대로 240",6,12,68.96,20,"85000"
"11680-4324","강남데시앙포레","서울특별시 강남구 광평로34길 55",6,13,59.74,7,"130000"
"11680-3965","강남신동아파밀리에","서울특별시 강남구 헌릉로590길 100",6,13,59.97,9,"97500"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",6,13,74.74,5,"125000"
